univ,sj,jh,name
경희대학교,수시,학생부종합 (네오르네상스전형),"인문계, 예체능"
경희대학교,수시,학생부종합 (네오르네상스전형),자연계
경희대학교,수시,학생부종합 (고교연계전형),전 학과
경희대학교,수시,학생부종합 (고른기회전형),전 학과
경희대학교,수시,학생부종합 (특성화고졸재직자전형),전 학과
경희대학교,수시,논술우수자전형,"인문계, 예체능, 의학계, 자연계(공과대학)"
경희대학교,수시,논술우수자전형,"사회계, 자연계(공과대학 외)"
경희대학교,수시,실기우수자전형,"한국무용, 현대무용, 발레"
경희대학교,수시,실기우수자전형,"디자인, 도예"
경희대학교,수시,실기우수자전형,PostModern음악
경희대학교,수시,실기우수자전형,체육
경희대학교,수시,실기우수자전형,"성악, 피아노"
경희대학교,수시,실기우수자전형,"한국화, 회화, 조소"
경희대학교,수시,실기우수자전형,"글로벌(영어)"
경희대학교,수시,실기우수자전형,K-SW인재
경희대학교,수시,실기우수자전형,"연극, 뮤지컬, 연기"
