university,sj,jh,name
성신여자대학교,수시,학교생활우수자전형,전 학과
성신여자대학교,수시,자기주도인재전형,전 학과
성신여자대학교,수시,고른기회전형,전 학과
성신여자대학교,수시,기회균형선발전형,전 학과
성신여자대학교,수시,학생부교과전형,교과우수자전형
성신여자대학교,수시,학생부교과전형,그 외
성신여자대학교,수시,논술우수자전형,전 학과
성신여자대학교,수시,실기/실적전형,기악과(피아노)
성신여자대학교,수시,실기/실적전형,기악과(관악)
성신여자대학교,수시,실기/실적전형,기악과(현악)
성신여자대학교,수시,실기/실적전형,기악과(타악기)
성신여자대학교,수시,실기/실적전형,"서양화과,공예과"
성신여자대학교,수시,실기/실적전형,"동양화과,산업디자인과"
성신여자대학교,수시,실기/실적전형,"뷰티산업학과,조소과"
성신여자대학교,수시,실기/실적전형,성악과
성신여자대학교,수시,실기/실적전형,작곡과(작곡전공)
성신여자대학교,수시,실기/실적전형,작곡과(이론전공)
성신여자대학교,수시,실기/실적전형,미디어영상연기학과
성신여자대학교,수시,실기/실적전형,현대실용음악학과
성신여자대학교,수시,실기/실적전형,무용예술학과
